"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"ABCC12",10.4296755728325,1.09284160747819,0.321921078735822,3.39475007902483,0.000686912738617847,0.0263921500157946,1.26127866779888
"MYOM3",57.7958904937968,1.36937297633008,0.209183832784464,6.54626582801473,5.89935343765242e-11,1.7555280308953e-07,1.33409622263542
"CRNN",1.15854793788563,1.28387127322036,0.549069549429139,2.3382671185375,0.0193733956275979,0.259300578933851,0.494929015901026
"ACTA1",772.439606119834,2.41686965509147,0.2666948873283,9.0623021659816,1.27725799353941e-19,1.62192981383065e-15,2.03212507978018
"LRTM1",5.53204336130549,1.60337102311233,0.4359225110658,3.67811017419633,0.000234968467671247,0.0163301232634108,0.996776310846131
"CER1",0.97590379882209,1.00446830200524,0.32060547060612,3.13303544105546,0.0017300855051734,0.07496798989079,0.443626124412693
"OOSP2",1.07923775678538,2.31892525362807,0.712434422339766,3.2549315149769,0.00113419712468897,0.0563465132401518,0.494929015901026
"CFC1B",0.884714930659864,1.21334789287106,0.38738439530949,3.13215479911547,0.00173528355726556,0.0750751822859951,0.443626124412693
"FEZF2",2.08907192056327,1.47971438212369,0.411043796036914,3.59989469830316,0.000318346073367148,0.0268822365291351,0.568537995857626
"SLC24A2",47.8791501038126,1.39611857445623,0.213688995122158,6.53341354176017,6.42873120570798e-11,1.39844829883833e-07,2.15685041642355
"COX6A2",19.4046357186752,1.89457518813454,0.346318174661899,5.47062016015812,4.48463528083697e-08,3.68565017216167e-05,1.67704894506228
"KLHL40",16.382126086489,1.35066153973063,0.400644340980344,3.37122330600172,0.0007483517107841,0.0277118989283326,1.26127866779888
"DRC1",10.5318296343669,1.2022888641219,0.204100693107193,5.89066526829706,3.84643973498353e-09,7.17029851166349e-06,1.10742811836683
"TRIM63",30.979175382817,1.08939450736315,0.202618593080404,5.37657719758646,7.59151580593429e-08,4.90662738575622e-05,1.67704894506228
"WFDC8",0.670431083349859,1.30207605461249,0.491250668994595,2.6505328883874,0.00803649025353464,0.16188633253914,0.485714323609554
"LCN1",3.42516827641338,3.76474111859427,0.864387526480786,4.35538575379703,1.32832783564596e-05,0.00451873015502485,0.568537995857626
"LRRC52",0.435396467974135,1.21132511591877,0.440419733477612,2.75038792279807,0.00595247503172852,1,0
"XIRP2",119.177583486034,2.36586976601515,0.558245063332234,4.23804870193205,2.25470866152727e-05,0.00295169939681425,2.03212507978018
"FBXO40",11.7989922639447,1.04001884537183,0.380083990418844,2.7362869039176,0.00621368249393912,0.0873425955115854,1.18745548614999
"TBX20",0.863521333760373,1.48468231348331,0.599671707805037,2.47582517927626,0.0132928649479194,0.223631814873945,0.443626124412693
"SYNPO2L",37.2156751887567,1.60865726064025,0.24737075282729,6.50302124343447,7.87226737020957e-11,1.7555280308953e-07,1.85054069597645
"NETO1",29.5312801382373,1.50690930908951,0.281943514239859,5.34472060175687,9.05566271528497e-08,5.07939287991977e-05,1.87778649681986
"MS4A15",6.00645104959707,1.02141971810585,0.24242420408734,4.21335700348575,2.51602901622021e-05,0.00418507597782499,1.26127866779888
"XIRP1",75.1630281244091,2.35854063023321,0.290122307091495,8.12947013236526,4.31170979282787e-16,2.06344715158167e-12,2.15685041642355
"HJV",9.64163966004624,1.09744191314551,0.300983139514642,3.64619066342125,0.00026615652781729,0.0154740368448986,1.26127866779888
"MYL1",178.22790071805,2.66562462200374,0.544639151579074,4.89429490016515,9.86588058336504e-07,0.000284427506870294,2.15685041642355
"ELSPBP1",1.66772593068363,1.19852414205685,0.470150081946489,2.5492373352245,0.0107958801813208,0.180958173519513,0.530131993540623
"VGLL2",3.1234962131958,1.29719346091189,0.65456966381964,1.98175004527756,0.0475072230037785,0.411589962328947,0.511683171739472
"SLN",69.5479579554302,2.53674274761552,0.359925002161785,7.04797591825884,1.81539046918362e-12,5.54389746019463e-09,1.87778649681986
"IRX1",4.65801253474445,1.30387091071925,0.292246780874645,4.46154071164441,8.13724828656704e-06,0.003416064828145,0.568537995857626
"LMOD2",41.3576764435395,1.7921460696487,0.38804214325718,4.61843153067251,3.8665151730879e-06,0.000768667161128459,2.36005739632969
"PAH",111.686859246862,1.31984638817899,0.256027989012351,5.1550863375149,2.53514095877572e-07,0.000112123539644402,2.03212507978018
"ZNF556",29.5183894738728,1.28933882579665,0.229565317910798,5.61643560765417,1.94936848479153e-08,1.4699658204478e-05,2.36005739632969
"ATOH1",66.2009472871067,1.05348628973419,0.319543948562617,3.29684318690127,0.000977780768651788,0.0295056338129146,1.43982022191843
"MYOZ2",33.0077308755001,1.37324748615856,0.243151772503998,5.64769679454415,1.62611643323883e-08,1.30464790920552e-05,2.36005739632969
"HSPA6",175.694714483548,1.00566189820158,0.186713731341643,5.38611644133153,7.19963300779776e-08,4.10704696785143e-05,2.26180186421649
"TCAP",282.339730905525,1.64413049385707,0.21724702341478,7.56802311034666,3.78946586108978e-14,1.51927044479194e-10,2.14548517635851
"NWD2",9.84029979974237,1.69963065440811,0.305414423741945,5.56499799054739,2.6215543133694e-08,3.67596541906309e-05,1.02239519788125
"MIR1-1HG",6.85113692425195,1.41333743120205,0.249884212423771,5.65596928870886,1.54969178142304e-08,3.68565017216167e-05,0.568537995857626
"ETV4",340.986603442384,1.65070238839428,0.201499883012234,8.19207616261524,2.56758066432525e-16,1.46468220959454e-12,2.2618018642165
"SOX11",6.66498669866251,1.09395747857557,0.23244629212127,4.7062806147273,2.52277199690052e-06,0.0015167323034957,0.600297986581954
"C10orf71",13.8127266824984,1.6511467773435,0.341179083546966,4.83953107610775,1.30145840685193e-06,0.000454932655111053,1.67704894506228
"LINC00314",0.795583248698401,2.31105361666692,0.82670739660691,2.79549164087836,0.00518208419002294,0.115147740813479,0.588985819527497
"LINC00311",0.763308089746491,1.20470585096194,0.369905112847847,3.25679697068007,0.001126769956139,0.110702106538089,0.138397350881669
"TH",5.31686359915948,1.00939836968552,0.226951082540354,4.44764730084967,8.68159237188028e-06,0.00248948934224798,1.02239519788125
