,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000167861.14,15201.20168,0.299722062,0.061125424,4.903394408,9.42E-07,0.000408862
ENSG00000168530.14,178.2279007,2.665624622,0.544639152,4.8942949,9.87E-07,0.000421181
ENSG00000168329.12,255.2739756,-0.593026592,0.121230375,-4.891732742,1.00E-06,0.000421181
ENSG00000079257.6,1155.770767,-0.518676559,0.106058092,-4.89049492,1.01E-06,0.000421181
ENSG00000262543.1,17.7320164,-0.878810403,0.180007937,-4.882064749,1.05E-06,0.000434486
ENSG00000104722.12,60.94121084,1.085994155,0.223094782,4.867859948,1.13E-06,0.000461536
ENSG00000198952.8,7215.499502,0.191810297,0.039547592,4.850113194,1.23E-06,0.000499075
ENSG00000177354.10,13.81272668,1.651146777,0.341179084,4.839531076,1.30E-06,0.000520481
ENSG00000272908.1,149.2553265,0.976030502,0.202364534,4.823130236,1.41E-06,0.0005589
ENSG00000214097.4,4.089972102,1.224926617,0.254966372,4.804267349,1.55E-06,0.000607503
ENSG00000186038.8,3.641756731,-0.899493933,0.187325343,-4.801773856,1.57E-06,0.000608432
ENSG00000160678.10,123.1992016,0.627734595,0.130831511,4.798038261,1.60E-06,0.000613222
ENSG00000184060.9,259.535896,-0.308900174,0.064431276,-4.794258215,1.63E-06,0.00061825
ENSG00000254248.1,1.052052347,-1.203748068,0.251319486,-4.789712436,1.67E-06,0.000625764
ENSG00000170689.9,51.08783972,-0.7031122,0.146880609,-4.786964071,1.69E-06,0.000627783
ENSG00000232044.6,10.64852416,0.979754683,0.205087118,4.777260974,1.78E-06,0.000652046
ENSG00000172551.9,48.03554345,-0.924008231,0.193743019,-4.769246569,1.85E-06,0.000671604
ENSG00000139780.7,5.545394189,1.585586049,0.332732589,4.765346415,1.89E-06,0.000677811
ENSG00000265142.5,23.68189729,0.892817419,0.187856451,4.752657762,2.01E-06,0.000714135
ENSG00000157637.11,11101.04067,0.255615383,0.053805066,4.750767952,2.03E-06,0.000714135
ENSG00000186335.7,4.425724577,1.350640065,0.285183195,4.736043668,2.18E-06,0.000755457
ENSG00000272002.1,6.523432753,0.584538854,0.12344005,4.735406815,2.19E-06,0.000755457
ENSG00000183091.18,534.0255081,0.866049897,0.183007761,4.732312395,2.22E-06,0.000759693
ENSG00000072135.11,7687.566175,0.259590108,0.055076945,4.713226308,2.44E-06,0.000826521
ENSG00000176887.6,6.664986699,1.093957479,0.232446292,4.706280615,2.52E-06,0.000847104
ENSG00000258857.1,6.912942524,-0.505900471,0.107750832,-4.695095744,2.66E-06,0.000885671
ENSG00000197172.9,2.514673366,-3.001659861,0.639768444,-4.691791049,2.71E-06,0.000885671
ENSG00000163631.15,192.7628112,-1.079741648,0.230193511,-4.690582471,2.72E-06,0.000885671
ENSG00000172752.13,2.092751313,-1.406091523,0.299830751,-4.689617459,2.74E-06,0.000885671
ENSG00000124812.13,15.59717102,2.027753683,0.433102098,4.681929947,2.84E-06,0.000911108
ENSG00000188060.6,51.56654971,-0.43814663,0.093618532,-4.680127121,2.87E-06,0.000911108
ENSG00000091482.5,21.91736134,1.198691175,0.256420475,4.674709278,2.94E-06,0.000924013
ENSG00000218175.2,213.1042341,0.589684216,0.126173158,4.673610652,2.96E-06,0.000924013
ENSG00000179218.12,71650.30769,0.26343419,0.05654634,4.658731064,3.18E-06,0.000984733
ENSG00000181523.11,4250.085759,0.220696531,0.047390932,4.656935836,3.21E-06,0.000984792
ENSG00000130254.10,4485.366639,0.161464912,0.034716501,4.650955832,3.30E-06,0.0010041
ENSG00000164756.11,5.337823513,-1.183795424,0.254691456,-4.647958918,3.35E-06,0.0010041
ENSG00000128228.4,1721.035935,0.408110997,0.087809815,4.647669468,3.36E-06,0.0010041
ENSG00000127533.3,193.7000376,0.657964855,0.141738232,4.64211277,3.45E-06,0.001022897
ENSG00000236027.2,1.181584519,-1.605543067,0.346375511,-4.63526727,3.56E-06,0.001048601
ENSG00000144591.16,3872.408127,0.271208762,0.05857662,4.629983113,3.66E-06,0.001066902
ENSG00000070081.14,7940.292283,0.456173181,0.098726271,4.620585566,3.83E-06,0.001099561
ENSG00000170807.11,41.35767644,1.79214607,0.388042143,4.618431531,3.87E-06,0.001099561
ENSG00000188573.7,127.7100514,0.908031142,0.196714932,4.615974651,3.91E-06,0.001099561
ENSG00000123500.8,435.8874198,-0.92034257,0.199389904,-4.615793231,3.92E-06,0.001099561
ENSG00000200959.1,2.652957176,-1.092537897,0.236715685,-4.615401374,3.92E-06,0.001099561
ENSG00000185624.13,102159.1735,0.294777878,0.063924556,4.61134023,4.00E-06,0.001112507
ENSG00000163563.7,163.5306753,-0.481148836,0.104748651,-4.593365481,4.36E-06,0.001203414
ENSG00000008324.9,1748.185361,0.405855171,0.088416461,4.590267103,4.43E-06,0.001209289
ENSG00000174123.9,45.88280657,-0.68459154,0.149176477,-4.589138669,4.45E-06,0.001209289
ENSG00000255021.1,7.366151787,1.789912302,0.390232748,4.58678138,4.50E-06,0.001213742
ENSG00000099985.3,62.52304931,-0.681619608,0.148656245,-4.585206686,4.54E-06,0.001213742
ENSG00000249631.4,1.691868755,-0.99266281,0.216937859,-4.575793339,4.74E-06,0.001244195
ENSG00000135346.7,52.86102653,1.081975462,0.236499039,4.574967678,4.76E-06,0.001244195
ENSG00000198754.5,28.54210403,0.543452018,0.118814899,4.573938317,4.79E-06,0.001244195
ENSG00000108515.16,280.0505418,0.583018175,0.127468402,4.573825101,4.79E-06,0.001244195
ENSG00000144040.11,1082.470225,0.27145027,0.05938172,4.571276639,4.85E-06,0.001250299
ENSG00000233215.4,22.90858174,-1.116114922,0.244494713,-4.564985918,5.00E-06,0.001279115
ENSG00000272573.4,5.643170632,0.937531363,0.205770867,4.556190964,5.21E-06,0.001324303
ENSG00000173486.11,6389.556133,0.401108806,0.088075904,4.554126473,5.26E-06,0.001327889
ENSG00000174502.17,13.76700745,-0.819478947,0.180173866,-4.548267537,5.41E-06,0.001355776
ENSG00000105641.3,20.05002399,-0.807094893,0.177532386,-4.546183994,5.46E-06,0.001359685
ENSG00000149483.10,1649.402277,0.277862377,0.06128892,4.533647771,5.80E-06,0.001432956
ENSG00000090520.9,3293.062932,0.203162609,0.044946586,4.520089945,6.18E-06,0.001517326
ENSG00000118939.16,448.4358684,0.30908688,0.068470695,4.514148429,6.36E-06,0.001549799
ENSG00000273027.1,24.19015395,0.498586218,0.110517827,4.511364663,6.44E-06,0.0015596
ENSG00000215861.5,58.9515757,0.822539432,0.182687056,4.502450522,6.72E-06,0.001615499
ENSG00000125355.14,89.55413049,-0.507859143,0.113243304,-4.48467259,7.30E-06,0.001744439
ENSG00000004809.12,25.46580385,0.911028461,0.203364811,4.479774329,7.47E-06,0.001773053
ENSG00000245008.3,0.620087751,-1.954658327,0.437088905,-4.471992555,7.75E-06,0.001826655
ENSG00000184261.4,31.59974511,0.718148801,0.160901904,4.463270984,8.07E-06,0.001890126
ENSG00000170549.3,4.658012535,1.303870911,0.292246781,4.461540712,8.14E-06,0.001893001
ENSG00000196664.4,139.2243857,-0.509786687,0.11429903,-4.460113851,8.19E-06,0.001893273
ENSG00000279541.1,34.56764304,-0.352164802,0.079058777,-4.454468104,8.41E-06,0.00193124
ENSG00000165376.9,23.20393281,-1.011980344,0.227449893,-4.449245202,8.62E-06,0.001966116
ENSG00000180176.13,5.316863599,1.00939837,0.226951083,4.447647301,8.68E-06,0.001968178
ENSG00000111912.17,2032.616049,-0.550743532,0.123914339,-4.444550465,8.81E-06,0.001984103
ENSG00000254206.4,26.17203561,0.654323644,0.147659428,4.431302846,9.37E-06,0.002096751
ENSG00000145050.14,5249.927703,0.30292957,0.068405195,4.428458542,9.49E-06,0.002111309
ENSG00000157303.9,73.9171885,-0.468037325,0.105808457,-4.423439664,9.71E-06,0.002147557
ENSG00000134765.8,13.05700873,-0.597226127,0.135429198,-4.40987716,1.03E-05,0.002272443
ENSG00000109072.12,77.99257026,0.864899772,0.196350008,4.404887878,1.06E-05,0.002304107
ENSG00000232578.4,3.960328132,-0.780317716,0.177175005,-4.404220099,1.06E-05,0.002304107
ENSG00000271639.1,0.768633925,-0.945989046,0.214882805,-4.40234875,1.07E-05,0.002309991
ENSG00000135414.8,2452.783326,0.619146907,0.141393389,4.378895728,1.19E-05,0.002557597
ENSG00000180879.12,17030.85143,0.359342339,0.082138607,4.374828753,1.22E-05,0.002590144
ENSG00000258240.4,1.000949049,1.787944197,0.408974166,4.371777846,1.23E-05,0.002608689
ENSG00000258711.2,3.02508843,0.989766174,0.226456208,4.370673616,1.24E-05,0.002608689
ENSG00000233912.1,21.91898383,0.437275037,0.100161316,4.365707806,1.27E-05,0.00264967
ENSG00000137288.8,2248.055427,0.303765177,0.069595921,4.364698018,1.27E-05,0.00264967
ENSG00000133195.10,1339.034148,0.262302043,0.06016395,4.359787581,1.30E-05,0.002694075
